prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
21073.0,100.0,0.07567191123962402,1.3528294563293457,63,1,1746055607.7845933,1746055609.213095
21202.0,100.0,0.08647680282592773,1.539259910583496,63,2,1746055629.2326345,1746055630.8583717
21073.0,100.0,0.08185529708862305,1.365915298461914,64,1,1746055613.497275,1746055614.9450462
21202.0,100.0,0.07512712478637695,1.365713357925415,64,2,1746055634.9873333,1746055636.4281745
21331.0,100.0,0.08074140548706055,1.5413267612457275,64,3,1746055656.4337177,1746055658.0557866
21073.0,100.0,0.07612323760986328,1.3552422523498535,65,1,1746055619.211647,1746055620.6430132
21202.0,100.0,0.07517480850219727,1.354346513748169,65,2,1746055640.7009723,1746055642.1304944
21331.0,100.0,0.08001708984375,1.35835862159729,65,3,1746055662.1520352,1746055663.5904117
21460.0,100.0,0.08864331245422363,1.5395901203155518,65,4,1746055683.6290245,1746055685.2572582
21073.0,100.0,0.07494378089904785,1.3540899753570557,66,1,1746055603.5760078,1746055605.005042
21202.0,100.0,0.07583165168762207,1.3596527576446533,66,2,1746055625.024093,1746055626.4595778
21331.0,100.0,0.07592058181762695,1.3578050136566162,66,3,1746055646.5138125,1746055647.9475386
21460.0,100.0,0.0774080753326416,1.3658409118652344,66,4,1746055667.9956536,1746055669.4389029
21589.0,100.0,0.07683563232421875,1.364438533782959,66,5,1746055689.44221,1746055690.8834846
21073.0,100.0,0.07531929016113281,1.3544960021972656,67,1,1746055609.287883,1746055610.7176986
21202.0,100.0,0.08754229545593262,1.3626940250396729,67,2,1746055630.7352152,1746055632.1854517
21331.0,100.0,0.0768589973449707,1.3583002090454102,67,3,1746055652.2251236,1746055653.6602833
21460.0,100.0,0.07823443412780762,1.3589375019073486,67,4,1746055673.7081957,1746055675.1453683
21589.0,100.0,0.08764386177062988,1.358696460723877,67,5,1746055695.1876776,1746055696.6340184
21073.0,100.0,0.07663726806640625,1.3552372455596924,68,1,1746055615.0010319,1746055616.432907
21202.0,100.0,0.0753319263458252,1.3664076328277588,68,2,1746055636.4909637,1746055637.9327037
21331.0,100.0,0.08067893981933594,1.364487648010254,68,3,1746055657.940425,1746055659.385592
21460.0,100.0,0.07648396492004395,1.356809377670288,68,4,1746055679.4194818,1746055680.8527756
21589.0,100.0,0.07708621025085449,1.3588454723358154,68,5,1746055700.9084363,1746055702.3443682
21073.0,100.0,0.07459115982055664,1.357250690460205,69,1,1746055620.715398,1746055622.1472402
21202.0,100.0,0.07661962509155273,1.3544204235076904,69,2,1746055642.204315,1746055643.6353555
21331.0,100.0,0.07554745674133301,1.356050729751587,69,3,1746055663.6881778,1746055665.1197765
21460.0,100.0,0.08898568153381348,1.3734846115112305,69,4,1746055685.1317277,1746055686.5941985
21073.0,100.0,0.07870602607727051,1.3544108867645264,70,1,1746055604.9790218,1746055606.4121392
21202.0,100.0,0.0742502212524414,1.3613049983978271,70,2,1746055626.4262142,1746055627.86177
21331.0,100.0,0.07603788375854492,1.3669013977050781,70,3,1746055647.916165,1746055649.359105
21460.0,100.0,0.07749056816101074,1.3675296306610107,70,4,1746055669.3980935,1746055670.8431141
21589.0,100.0,0.07832002639770508,1.3635947704315186,70,5,1746055690.844489,1746055692.2864044
21073.0,100.0,0.07424330711364746,1.3575844764709473,71,1,1746055610.6907723,1746055612.1226008
21202.0,100.0,0.07460236549377441,1.3561723232269287,71,2,1746055632.1816149,1746055633.61239
21331.0,100.0,0.07741498947143555,1.3566410541534424,71,3,1746055653.628132,1746055655.0621886
21460.0,100.0,0.07688021659851074,1.3590002059936523,71,4,1746055675.1106877,1746055676.5465684
21589.0,100.0,0.07738709449768066,1.3593711853027344,71,5,1746055696.6008985,1746055698.0376573
21073.0,100.0,0.0783238410949707,1.3557956218719482,72,1,1746055616.4050715,1746055617.8391914
21202.0,100.0,0.07776737213134766,1.3689677715301514,72,2,1746055637.8936098,1746055639.3403454
21331.0,100.0,0.07663846015930176,1.357752799987793,72,3,1746055659.3455536,1746055660.7799454
21460.0,100.0,0.0762786865234375,1.3595285415649414,72,4,1746055680.822251,1746055682.2580585
21073.0,100.0,0.08062052726745605,1.3582298755645752,73,1,1746055622.1188657,1746055623.5577164
21202.0,100.0,0.07484674453735352,1.357018232345581,73,2,1746055643.6068718,1746055645.0387378
21331.0,100.0,0.07874488830566406,1.3604936599731445,73,3,1746055665.0908217,1746055666.5300612
21460.0,100.0,0.08516263961791992,1.359201192855835,73,4,1746055686.5376704,1746055687.9820347
21073.0,100.0,0.07384967803955078,1.3533101081848145,74,1,1746055606.3816996,1746055607.8088596
21202.0,100.0,0.07587242126464844,1.3618578910827637,74,2,1746055627.8293273,1746055629.267058
21331.0,100.0,0.07695388793945312,1.3666458129882812,74,3,1746055649.3186784,1746055650.7622786
21460.0,100.0,0.07853198051452637,1.3658509254455566,74,4,1746055670.8012936,1746055672.245677
21589.0,100.0,0.0766153335571289,1.3579866886138916,74,5,1746055692.2478328,1746055693.6824353
21073.0,100.0,0.07625007629394531,1.3789429664611816,75,1,1746055612.0942314,1746055613.549425
21202.0,100.0,0.0760033130645752,1.3537168502807617,75,2,1746055633.5844631,1746055635.0141838
21331.0,100.0,0.07622408866882324,1.354968547821045,75,3,1746055655.0307894,1746055656.4619825
21460.0,100.0,0.0767812728881836,1.3554859161376953,75,4,1746055676.513612,1746055677.9458795
21589.0,100.0,0.07899594306945801,1.3585338592529297,75,5,1746055698.003184,1746055699.4407146
21073.0,100.0,0.07544827461242676,1.354539155960083,76,1,1746055617.8082626,1746055619.2382505
21202.0,100.0,0.07918953895568848,1.3570046424865723,76,2,1746055639.2971292,1746055640.733324
21331.0,100.0,0.07664108276367188,1.3561241626739502,76,3,1746055660.748914,1746055662.18168
21460.0,100.0,0.07627654075622559,1.3575351238250732,76,4,1746055682.2250488,1746055683.6588612
21073.0,100.0,0.0644078254699707,1.3529603481292725,77,1,1746055602.0676782,1746055603.4850466
21202.0,100.0,0.07545828819274902,1.3543670177459717,77,2,1746055623.5216877,1746055624.9515135
21331.0,100.0,0.07687020301818848,1.357131004333496,77,3,1746055645.0104032,1746055646.4444053
21460.0,100.0,0.07764792442321777,1.362360954284668,77,4,1746055666.493447,1746055667.9334564
21589.0,100.0,0.0774378776550293,1.363457202911377,77,5,1746055687.9394388,1746055689.3803344
21073.0,100.0,0.09975671768188477,1.5396177768707275,78,1,1746055629.2354434,1746055630.874818
21202.0,100.0,0.0765829086303711,1.366983413696289,78,2,1746055650.7215326,1746055652.1650999
21331.0,100.0,0.07762289047241211,1.3633100986480713,78,3,1746055672.2045639,1746055673.6454973
21460.0,100.0,0.07642316818237305,1.3561747074127197,78,4,1746055693.6841903,1746055695.1167884
21073.0,100.0,0.09334182739257812,1.5415186882019043,79,1,1746055656.4369693,1746055658.0718305
21202.0,100.0,0.07466292381286621,1.3531007766723633,79,2,1746055677.9164765,1746055679.3442404
21331.0,100.0,0.07532548904418945,1.354823350906372,79,3,1746055699.4054582,1746055700.8356073
21073.0,100.0,0.10049819946289062,1.5410611629486084,80,1,1746055683.6320727,1746055685.2736328
